id,url,brand,model,price,price_mark,generation,complectation,mileage,no_mileage_rf,color,body_type,power,fuel_type,engine_volume
745464069,https://auto.drom.ru/vladivostok/toyota/crown/745464069.html,Toyota,Crown,3899999,нормальная цена,15 поколение,3.5 RS Advance,122 000,нет,белый,седан,299,бензин,3.5 л
931486906,https://auto.drom.ru/vladivostok/toyota/crown/931486906.html,Toyota,Crown,3500000,нормальная цена,15 поколение,2.5 S Four Sport Style 4WD,28 500,нет,черный,седан,184,бензин,2.5 л
303089354,https://auto.drom.ru/vladivostok/toyota/crown/303089354.html,Toyota,Crown,2900000,null,15 поколение,2.5 RS,111 000,нет,серый,седан,184,бензин,2.5 л
53010127,https://auto.drom.ru/vladivostok/toyota/crown/53010127.html,Toyota,Crown,4700000,хорошая цена,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,880,да,серый,седан,186,бензин,2.5 л
269339462,https://auto.drom.ru/artem/toyota/crown/269339462.html,Toyota,Crown,2900000,null,15 поколение,2.5 G,95 000,нет,серый,седан,184,бензин,2.5 л
784701383,https://auto.drom.ru/vladivostok/toyota/crown/784701383.html,Toyota,Crown,5600000,null,16 поколение,Crossover 2.4 Turbo Hybrid RS Advanced 4WD,12 000,да,красный,седан,272,бензин,2.4 л
433364084,https://auto.drom.ru/vladivostok/toyota/crown/433364084.html,Toyota,Crown,3250000,null,15 поколение,2.5 RS Advance,107 000,нет,белый,седан,184,бензин,2.5 л
1757845728,https://my.drom.ru/sign?return=https%3A%2F%2Fussuriisk.drom.ru%2Fauto%2Fall%2F%3Fdamaged%3D2%26multiselect%255B%255D%3D9_4_15_all%26multiselect%255B%255D%3D9_4_16_all%26ph%3D1%26pts%3D2%26unsold%3D1%26whereabouts%255B%255D%3D0%26tcb%3D1757845728,null,null,null,null,null,null,null,null,null,null,null,null,null
892502257,https://auto.drom.ru/ussuriisk/toyota/crown/892502257.html,Toyota,Crown,5090000,null,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,25 000,да,серый,седан,186,бензин,2.5 л
421274582,https://auto.drom.ru/ussuriisk/toyota/crown/421274582.html,Toyota,Crown,3400000,нормальная цена,15 поколение,2.5 RS Four 4WD,88 000,нет,серый,седан,184,бензин,2.5 л
481068099,https://auto.drom.ru/ussuriisk/toyota/crown/481068099.html,Toyota,Crown,2950000,null,15 поколение,2.5 RS Advance,111 000,нет,белый,седан,184,бензин,2.5 л
425233367,https://auto.drom.ru/ussuriisk/toyota/crown/425233367.html,Toyota,Crown,5010000,null,16 поколение,Crossover 2.5 Hybrid G 4WD,21 000,да,белый,седан,186,бензин,2.5 л
393551064,https://auto.drom.ru/ussuriisk/toyota/crown/393551064.html,Toyota,Crown,2950000,null,15 поколение,2.0 RS,102 000,нет,белый,седан,245,бензин,2.0 л
361877958,https://auto.drom.ru/ussuriisk/toyota/crown/361877958.html,Toyota,Crown,2850111,null,15 поколение,2.5 RS Advance Four 4WD,195 000,нет,белый,седан,184,бензин,2.5 л
754308781,https://auto.drom.ru/ussuriisk/toyota/crown/754308781.html,Toyota,Crown,4500000,null,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,21 000,нет,черный,седан,186,бензин,2.5 л
724672806,https://auto.drom.ru/ussuriisk/toyota/crown/724672806.html,Toyota,Crown,4500000,нормальная цена,16 поколение,Crossover 2.5 Hybrid G Advanced 4WD,29 000,нет,коричневый,седан,186,бензин,2.5 л
921185137,https://auto.drom.ru/ussuriisk/toyota/crown/921185137.html,Toyota,Crown,2580000,хорошая цена,15 поколение,2.5 S,120 000,нет,черный,седан,184,бензин,2.5 л
231597667,https://auto.drom.ru/ussuriisk/toyota/crown/231597667.html,Toyota,Crown,2950000,нормальная цена,15 поколение,2.5 RS Advance,113 000,нет,белый,седан,184,бензин,2.5 л
516100133,https://auto.drom.ru/ussuriisk/toyota/crown/516100133.html,Toyota,Crown,3000000,null,15 поколение,2.5 G,158 000,нет,синий,седан,184,бензин,2.5 л
561026520,https://auto.drom.ru/ussuriisk/toyota/crown/561026520.html,Toyota,Crown,4750000,нормальная цена,16 поколение,Crossover 2.5 Hybrid G Advanced 4WD,26 000,да,черный,седан,186,бензин,2.5 л
233995126,https://auto.drom.ru/ussuriisk/toyota/crown/233995126.html,Toyota,Crown,4850000,null,16 поколение,Crossover 2.5 Hybrid G Advanced Leather Package 4WD,29 000,да,серый,седан,186,бензин,2.5 л
578490347,https://auto.drom.ru/ussuriisk/toyota/crown/578490347.html,Toyota,Crown,3300000,null,15 поколение,2.5 RS Advance,80 000,да,серебристый,седан,184,бензин,2.5 л
407589679,https://auto.drom.ru/ussuriisk/toyota/crown/407589679.html,Toyota,Crown,3500000,null,15 поколение,2.5 RS Advance,54 000,да,черный,седан,184,бензин,2.5 л
803883472,https://auto.drom.ru/ussuriisk/toyota/crown/803883472.html,Toyota,Crown,3200000,null,15 поколение,2.5 G Executive Four 4WD,121 000,да,черный,седан,184,бензин,2.5 л
758474059,https://auto.drom.ru/ussuriisk/toyota/crown/758474059.html,Toyota,Crown,3000000,null,15 поколение,2.5 S Sport Style,100 000,нет,черный,седан,184,бензин,2.5 л
324181233,https://auto.drom.ru/ussuriisk/toyota/crown/324181233.html,Toyota,Crown,3300000,null,15 поколение,2.5 RS Advance,108 000,нет,черный,седан,184,бензин,2.5 л
